"OrderID","OrderDate","BookID","Quantity","Price"
1,2005/1/1 00:00:00,96,7,660.00
2,2005/1/1 00:00:00,85,2,440.00
3,2005/1/1 00:00:00,13,9,700.00
4,2005/1/1 00:00:00,45,2,300.00
5,2005/1/1 00:00:00,89,4,460.00
6,2005/1/1 00:00:00,8,8,580.00
7,2005/1/1 00:00:00,89,10,460.00
8,2005/1/1 00:00:00,45,7,300.00
9,2005/1/1 00:00:00,51,7,440.00
10,2005/1/1 00:00:00,35,9,350.00
11,2005/1/1 00:00:00,14,8,670.00
12,2005/1/1 00:00:00,34,5,410.00
13,2005/1/1 00:00:00,51,1,440.00
14,2005/1/1 00:00:00,63,9,330.00
15,2005/1/1 00:00:00,83,1,490.00
16,2005/1/1 00:00:00,8,3,580.00
17,2005/1/1 00:00:00,60,7,570.00
18,2005/1/1 00:00:00,50,4,400.00
19,2005/1/1 00:00:00,73,7,360.00
20,2005/1/1 00:00:00,90,7,500.00
21,2005/1/1 00:00:00,100,3,520.00
22,2005/1/1 00:00:00,55,5,670.00
23,2005/1/1 00:00:00,59,3,450.00
24,2005/1/1 00:00:00,95,5,550.00
25,2005/1/1 00:00:00,40,8,670.00
26,2005/1/1 00:00:00,41,2,400.00
27,2005/1/1 00:00:00,59,5,450.00
28,2005/1/1 00:00:00,37,1,360.00
29,2005/1/1 00:00:00,60,9,570.00
30,2005/1/1 00:00:00,58,10,520.00
31,2005/1/1 00:00:00,30,5,380.00
32,2005/1/1 00:00:00,75,8,600.00
33,2005/1/1 00:00:00,33,2,590.00
34,2005/1/1 00:00:00,41,3,400.00
35,2005/1/1 00:00:00,55,2,670.00
36,2005/1/1 00:00:00,16,3,600.00
37,2005/1/1 00:00:00,28,1,660.00
38,2005/1/1 00:00:00,11,8,460.00
39,2005/1/1 00:00:00,59,8,450.00
40,2005/1/1 00:00:00,4,10,430.00
41,2005/1/1 00:00:00,20,10,530.00
42,2005/1/1 00:00:00,89,4,460.00
43,2005/1/1 00:00:00,97,1,700.00
44,2005/1/1 00:00:00,46,3,350.00
45,2005/1/1 00:00:00,32,6,660.00
46,2005/1/1 00:00:00,31,1,560.00
47,2005/1/1 00:00:00,88,8,620.00
48,2005/1/1 00:00:00,38,5,580.00
49,2005/1/1 00:00:00,28,7,660.00
50,2005/1/1 00:00:00,5,2,340.00
51,2005/1/1 00:00:00,83,8,490.00
52,2005/1/1 00:00:00,39,3,570.00
53,2005/1/1 00:00:00,85,7,440.00
54,2005/1/1 00:00:00,47,8,580.00
55,2005/1/1 00:00:00,97,3,700.00
56,2005/1/1 00:00:00,52,3,640.00
57,2005/1/1 00:00:00,73,8,360.00
58,2005/1/1 00:00:00,60,1,570.00
59,2005/1/1 00:00:00,4,2,430.00
60,2005/1/1 00:00:00,60,10,570.00
61,2005/1/1 00:00:00,67,6,440.00
62,2005/1/1 00:00:00,67,5,440.00
63,2005/1/1 00:00:00,15,1,420.00
64,2005/1/1 00:00:00,28,6,660.00
65,2005/1/1 00:00:00,100,8,520.00
66,2005/1/1 00:00:00,22,2,530.00
67,2005/1/1 00:00:00,84,3,520.00
68,2005/1/1 00:00:00,48,8,590.00
69,2005/1/1 00:00:00,37,10,360.00
70,2005/1/1 00:00:00,99,4,530.00
71,2005/1/1 00:00:00,37,4,360.00
72,2005/1/1 00:00:00,54,9,490.00
73,2005/1/1 00:00:00,75,6,600.00
74,2005/1/1 00:00:00,99,10,530.00
75,2005/1/1 00:00:00,82,8,360.00
76,2005/1/1 00:00:00,92,6,440.00
77,2005/1/1 00:00:00,97,7,700.00
78,2005/1/1 00:00:00,52,3,640.00
79,2005/1/1 00:00:00,26,5,360.00
80,2005/1/1 00:00:00,2,5,550.00
81,2005/1/1 00:00:00,42,8,320.00
82,2005/1/1 00:00:00,27,4,590.00
83,2005/1/1 00:00:00,91,8,380.00
84,2005/1/1 00:00:00,73,1,360.00
85,2005/1/1 00:00:00,14,7,670.00
86,2005/1/1 00:00:00,38,8,580.00
87,2005/1/1 00:00:00,45,4,300.00
88,2005/1/1 00:00:00,32,1,660.00
89,2005/1/1 00:00:00,46,3,350.00
90,2005/1/1 00:00:00,23,6,320.00
91,2005/1/1 00:00:00,61,6,590.00
92,2005/1/1 00:00:00,34,4,410.00
93,2005/1/1 00:00:00,87,7,620.00
94,2005/1/1 00:00:00,10,7,630.00
95,2005/1/1 00:00:00,71,3,590.00
96,2005/1/1 00:00:00,15,5,420.00
97,2005/1/1 00:00:00,19,1,590.00
98,2005/1/1 00:00:00,24,8,650.00
99,2005/1/1 00:00:00,62,7,400.00
100,2005/1/1 00:00:00,41,10,400.00
101,2005/1/1 00:00:00,16,6,600.00
102,2005/1/1 00:00:00,49,4,640.00
103,2005/1/1 00:00:00,37,6,360.00
104,2005/1/1 00:00:00,39,10,570.00
105,2005/1/1 00:00:00,40,3,670.00
106,2005/1/1 00:00:00,26,5,360.00
107,2005/1/1 00:00:00,43,8,550.00
108,2005/1/1 00:00:00,31,9,560.00
