ID,AGE,EDUC,MARRIED,KIDS,LIFECL,OCCAT,RISK,HHOUSES,WSAVED,SPENDMOR,NWCAT,INCCL
1,3,2,1,0,2,1,3,1,1,5,3,4
2,4,4,1,2,5,2,3,0,2,5,5,5
3,3,1,1,2,3,2,2,1,2,4,4,4
4,3,1,1,2,3,2,2,1,2,4,3,4
5,4,3,1,1,5,1,2,1,3,3,5,5
6,1,1,1,2,3,1,3,0,2,1,1,3
7,4,4,1,0,5,1,2,1,2,4,5,5
8,6,4,1,0,6,3,3,1,3,5,5,5
9,3,2,1,1,3,1,4,1,2,4,2,4
10,5,4,1,0,6,3,3,1,3,1,5,4
11,3,4,1,0,2,1,3,1,3,2,5,5
12,1,3,1,0,2,1,4,0,2,2,1,4
13,1,4,1,3,3,2,2,1,3,3,5,5
14,6,2,1,0,6,3,4,1,3,5,3,3
15,4,3,2,0,6,3,2,1,2,4,2,2
16,2,2,1,2,3,2,4,1,1,5,3,3
17,2,2,1,2,3,2,4,1,1,5,2,3
18,3,1,2,0,1,3,4,0,2,3,1,1
19,1,4,1,0,2,1,2,0,3,3,2,4
20,5,4,1,0,6,3,1,1,1,2,5,5
21,4,2,2,1,5,1,3,1,2,5,2,3
22,4,2,2,1,5,1,3,1,2,5,3,3
23,5,4,1,0,5,2,3,1,3,2,5,5
24,4,3,1,0,5,1,4,1,3,5,5,4
25,4,3,1,0,5,1,4,1,3,5,5,5
26,3,4,1,1,3,2,2,1,1,5,5,5
27,2,4,1,0,2,1,3,1,3,4,3,5
28,3,4,1,1,3,1,3,0,3,4,3,5
29,2,4,1,2,3,1,2,1,1,5,3,5
30,3,2,2,2,4,1,3,1,1,3,3,3
31,3,2,2,2,4,1,3,1,1,3,3,4
32,3,2,1,2,3,1,4,1,2,2,3,5
33,4,1,1,0,6,3,4,1,3,2,2,2
34,1,2,1,0,2,1,1,0,3,2,1,2
35,3,4,1,2,3,1,2,1,3,4,4,5
36,3,4,2,1,4,1,3,1,2,4,3,3
37,3,4,2,1,4,1,3,1,2,4,4,3
38,3,2,1,1,3,4,4,1,1,5,2,3
39,3,2,2,1,4,1,4,0,1,3,2,3
40,5,4,1,0,6,3,3,1,3,5,5,5
41,2,4,1,2,3,1,2,1,3,4,3,4
42,4,2,1,1,5,1,3,1,2,2,2,3
43,2,4,2,1,4,1,3,1,3,4,2,4
44,2,4,1,2,3,1,3,1,1,3,2,4
45,3,2,1,2,3,1,4,1,1,4,2,4
46,6,4,1,0,6,3,3,1,3,3,5,5
47,3,4,2,0,1,1,3,0,3,5,3,4
48,3,3,1,2,3,1,4,1,3,2,3,5
49,5,3,1,0,5,2,3,1,1,5,5,4
50,5,4,1,0,5,2,3,1,2,5,5,5
51,1,3,2,0,1,1,4,0,1,2,1,3
52,3,2,2,0,1,1,3,1,3,4,4,4
53,1,4,1,0,2,1,2,1,3,3,2,5
54,1,3,1,1,3,4,4,1,3,3,2,3
55,3,3,1,0,2,2,4,1,1,5,3,4
56,6,4,2,0,6,3,3,1,3,5,5,4
57,6,4,2,0,6,3,3,1,3,5,5,5
58,6,3,1,0,6,3,2,1,3,5,5,4
59,4,4,1,1,5,2,1,1,3,5,5,5
60,3,2,1,0,2,1,3,1,1,4,2,4
61,1,2,1,0,2,1,4,0,2,1,1,4
62,2,1,2,0,1,1,4,0,3,4,2,3
63,2,1,2,0,1,1,4,0,3,4,1,3
64,3,2,2,0,1,3,4,1,1,5,1,1
65,2,4,2,0,1,1,3,0,3,5,3,4
66,2,4,2,0,1,1,3,0,3,4,3,4
67,5,3,1,0,5,2,3,1,3,5,5,5
68,3,2,1,2,3,2,3,1,3,2,5,5
69,6,2,2,0,6,3,4,1,3,5,3,2
70,3,2,1,0,2,1,3,1,3,4,3,4
71,1,3,1,2,3,2,2,1,3,2,5,5
72,6,2,2,0,6,3,4,1,3,4,3,3
73,3,4,1,0,2,2,4,1,2,4,2,2
74,3,4,1,0,2,1,3,1,3,4,5,5
75,1,4,1,0,2,1,3,0,3,3,2,5
76,1,4,1,0,2,1,3,0,3,3,1,5
77,6,1,2,1,6,3,4,0,3,5,1,1
78,2,2,1,2,3,1,3,0,2,2,1,4
79,2,4,1,2,3,1,2,1,3,1,3,5
80,4,4,1,1,5,1,3,1,3,5,5,5
81,3,4,1,2,3,2,3,1,3,4,5,5
82,4,3,1,0,5,1,3,1,3,3,4,4
83,3,4,2,0,1,1,3,1,3,4,4,5
84,6,3,1,0,6,3,4,1,3,5,5,5
85,6,3,1,0,5,2,3,1,2,2,5,5
86,5,4,1,0,5,2,2,1,3,4,5,5
87,4,4,1,0,5,1,3,1,3,3,5,5
88,3,4,1,0,2,1,2,1,2,2,4,5
89,4,4,1,0,5,2,3,1,3,3,5,5
90,4,4,1,0,5,1,4,1,3,5,5,5
91,3,3,2,0,1,2,3,0,3,5,2,4
92,3,4,1,1,3,2,4,1,1,5,1,5
93,3,3,2,0,1,2,3,1,3,4,5,5
94,1,4,1,0,2,1,4,1,1,2,4,5
95,1,4,1,0,2,1,4,1,1,2,3,5
96,4,4,1,1,5,2,2,1,3,4,5,5
97,2,4,1,2,3,1,3,1,2,4,2,4
98,5,3,1,0,5,1,3,1,3,5,5,5
99,4,2,2,1,6,3,3,0,2,3,1,1
100,4,2,2,1,6,3,4,0,2,3,1,1
101,1,3,2,0,1,4,3,0,3,4,2,1
102,1,3,2,0,1,4,3,0,3,4,1,1
103,1,2,1,2,3,1,2,0,2,5,1,2
104,4,4,1,0,5,2,3,1,3,4,5,5
105,5,4,2,0,5,2,1,1,3,4,5,5
106,4,2,1,0,5,2,3,1,3,5,5,5
107,2,2,2,0,1,1,3,0,3,2,1,2
108,5,2,2,0,6,3,3,1,3,4,5,5
109,4,4,1,0,6,3,3,1,3,4,5,5
110,2,4,1,3,3,1,2,1,3,2,3,5
111,4,4,2,1,6,3,4,0,3,3,1,3
112,3,3,1,0,2,1,3,1,3,4,3,4
113,3,3,1,0,2,1,3,1,3,4,4,4
114,1,2,1,0,2,1,4,0,3,4,1,3
115,5,1,1,0,6,3,4,1,2,4,3,2
116,4,4,1,0,5,1,3,0,3,4,5,5
117,2,2,1,3,3,1,3,1,3,2,2,4
118,4,2,1,0,6,3,4,1,2,5,2,2
119,4,2,1,0,6,3,4,1,2,5,2,3
120,5,3,1,0,5,1,4,1,3,3,3,5
121,3,2,1,2,3,1,2,1,2,2,3,4
122,2,2,2,0,1,1,2,0,2,5,1,3
123,2,4,2,0,1,1,2,0,2,5,1,3
124,2,1,2,0,1,1,2,0,2,5,1,3
125,2,3,2,0,1,1,2,0,2,5,1,3
126,4,4,2,0,5,2,3,1,3,4,5,5
