OrderDetailsID,OrderID,ProductName,OrderDate,ProductID,CustomerID,UnitPrice,Quantity
1,10248,Queso Cabrales,2011/7/1,11,VINET,14,12
2,10248,Singaporean Hokkien Fried Mee,2011/7/1,42,VINET,9.8,10
3,10248,Mozzarella di Giovanni,2011/7/1,72,VINET,34.8,5
4,10249,Tofu,2011/7/2,14,TOMSP,18.6,9
5,10249,Manjimup Dried Apples,2011/7/2,51,TOMSP,42.4,40
6,10250,Jack's New England Clam Chowder,2011/7/5,41,HANAR,7.7,10
7,10250,Manjimup Dried Apples,2011/7/5,51,HANAR,42.4,35
8,10250,Louisiana Fiery Hot Pepper Sauce,2011/7/5,65,HANAR,16.8,15
9,10251,Gustaf's Knackebrod,2011/7/5,22,VICTE,16.8,6
10,10251,Ravioli Angelo,2011/7/5,57,VICTE,15.6,15
11,10251,Louisiana Fiery Hot Pepper Sauce,2011/7/5,65,VICTE,16.8,20
12,10252,Sir Rodney's Marmalade,2011/7/6,20,SUPRD,64.8,40
13,10252,Geitost,2011/7/6,33,SUPRD,2,25
14,10252,Camembert Pierrot,2011/7/6,60,SUPRD,27.2,40
15,10253,Gorgonzola Telino,2011/7/7,31,HANAR,10,20
16,10253,Chartreuse verte,2011/7/7,39,HANAR,14.4,42
17,10253,Maxilaku,2011/7/7,49,HANAR,16,40
18,10254,Guarana Fantastica,2011/7/8,24,CHOPS,3.6,15
19,10254,Pate chinois,2011/7/8,55,CHOPS,19.2,21
20,10254,Longlife Tofu,2011/7/8,74,CHOPS,8,21
21,10255,Chang,2011/7/9,2,RICSU,15.2,20
22,10255,Pavlova,2011/7/9,16,RICSU,13.9,35
23,10255,Inlagd Sill,2011/7/9,36,RICSU,15.2,25
24,10255,Raclette Courdavault,2011/7/9,59,RICSU,44,30
25,10256,Perth Pasties,2011/7/12,53,WELLI,26.2,15
26,10256,Original Frankfurter grune Sose,2011/7/12,77,WELLI,10.4,12
27,10257,Schoggi Schokolade,2011/7/13,27,HILAA,35.1,25
28,10257,Chartreuse verte,2011/7/13,39,HILAA,14.4,6
29,10257,Original Frankfurter grune Sose,2011/7/13,77,HILAA,10.4,15
30,10258,Chang,2011/7/14,2,ERNSH,15.2,50
31,10258,Chef Anton's Gumbo Mix,2011/7/14,5,ERNSH,17,65
32,10258,Mascarpone Fabioli,2011/7/14,32,ERNSH,25.6,6
33,10259,Sir Rodney's Scones,2011/7/15,21,CENTC,8,10
34,10259,Gravad lax,2011/7/15,37,CENTC,20.8,1
35,10260,Jack's New England Clam Chowder,2011/7/16,41,OTTIK,7.7,16
36,10260,Ravioli Angelo,2011/7/16,57,OTTIK,15.6,50
37,10260,Tarte au sucre,2011/7/16,62,OTTIK,39.4,15
38,10260,Outback Lager,2011/7/16,70,OTTIK,12,21
39,10261,Sir Rodney's Scones,2011/7/16,21,QUEDE,8,20
40,10261,Steeleye Stout,2011/7/16,35,QUEDE,14.4,20
41,10262,Chef Anton's Gumbo Mix,2011/7/19,5,RATTC,17,12
42,10262,Uncle Bob's Organic Dried Pears,2011/7/19,7,RATTC,24,15
43,10262,Gnocchi di nonna Alice,2011/7/19,56,RATTC,30.4,2
44,10263,Pavlova,2011/7/20,16,ERNSH,13.9,60
45,10263,Guarana Fantastica,2011/7/20,24,ERNSH,3.6,28
46,10263,Nord-Ost Matjeshering,2011/7/20,30,ERNSH,20.7,60
47,10263,Longlife Tofu,2011/7/20,74,ERNSH,8,36
48,10264,Chang,2011/7/21,2,FOLKO,15.2,35
49,10264,Jack's New England Clam Chowder,2011/7/21,41,FOLKO,7.7,25
50,10265,Alice Mutton,2011/7/22,17,BLONP,31.2,30
51,10265,Outback Lager,2011/7/22,70,BLONP,12,20
52,10266,Queso Manchego La Pastora,2011/7/23,12,WARTH,30.4,12
53,10267,Boston Crab Meat,2011/7/26,40,FRANK,14.7,50
54,10267,Raclette Courdavault,2011/7/26,59,FRANK,44,70
55,10267,Lakkalikoori,2011/7/26,76,FRANK,14.4,15
56,10268,Thuringer Rostbratwurst,2011/7/27,29,GROSR,99,10
57,10268,Mozzarella di Giovanni,2011/7/27,72,GROSR,27.8,4
58,10269,Geitost,2011/7/28,33,WHITC,2,60
59,10269,Mozzarella di Giovanni,2011/7/28,72,WHITC,27.8,20
60,10270,Inlagd Sill,2011/7/29,36,WARTH,15.2,30
61,10270,Ipoh Coffee,2011/7/29,43,WARTH,36.8,25
62,10271,Geitost,2011/7/29,33,SPLIR,2,24
63,10272,Sir Rodney's Marmalade,2011/7/30,20,RATTC,64.8,6
64,10272,Gorgonzola Telino,2011/7/30,31,RATTC,10,40
65,10272,Mozzarella di Giovanni,2011/7/30,72,RATTC,27.8,24
66,10273,Ikura,2011/8/2,10,QUICK,24.8,24
67,10273,Gorgonzola Telino,2011/8/2,31,QUICK,10,15
68,10273,Geitost,2011/8/2,33,QUICK,2,20
69,10273,Boston Crab Meat,2011/8/2,40,QUICK,14.7,60
70,10273,Lakkalikoori,2011/8/2,76,QUICK,14.4,33
71,10274,Flotemysost,2011/8/3,71,VINET,17.2,20
72,10274,Mozzarella di Giovanni,2011/8/3,72,VINET,27.8,7
73,10275,Guarana Fantastica,2011/8/4,24,MAGAA,3.6,12
74,10275,Raclette Courdavault,2011/8/4,59,MAGAA,44,6
75,10276,Ikura,2011/8/5,10,TORTU,24.8,15
76,10276,Konbu,2011/8/5,13,TORTU,4.8,10
77,10277,Rossle Sauerkraut,2011/8/6,28,MORGK,36.4,20
78,10277,Tarte au sucre,2011/8/6,62,MORGK,39.4,12
79,10278,Gula Malacca,2011/8/9,44,BERGS,15.5,16
80,10278,Raclette Courdavault,2011/8/9,59,BERGS,44,15
81,10278,Vegie-spread,2011/8/9,63,BERGS,35.1,8
82,10278,Rod Kaviar,2011/8/9,73,BERGS,12,25
83,10279,Alice Mutton,2011/8/10,17,LEHMS,31.2,15
84,10280,Guarana Fantastica,2011/8/11,24,BERGS,3.6,12
85,10280,Pate chinois,2011/8/11,55,BERGS,19.2,20
86,10280,Rhonbrau Klosterbier,2011/8/11,75,BERGS,6.2,30
87,10281,Teatime Chocolate Biscuits,2011/8/11,19,ROMEY,7.3,1
88,10281,Guarana Fantastica,2011/8/11,24,ROMEY,3.6,6
89,10281,Steeleye Stout,2011/8/11,35,ROMEY,14.4,4
90,10282,Nord-Ost Matjeshering,2011/8/12,30,ROMEY,20.7,6
91,10282,Ravioli Angelo,2011/8/12,57,ROMEY,15.6,2
92,10283,Genen Shouyu,2011/8/13,15,LILAS,12.4,20
93,10283,Teatime Chocolate Biscuits,2011/8/13,19,LILAS,7.3,18
94,10283,Camembert Pierrot,2011/8/13,60,LILAS,27.2,35
95,10283,Mozzarella di Giovanni,2011/8/13,72,LILAS,27.8,3
96,10284,Schoggi Schokolade,2011/8/16,27,LEHMS,35.1,15
97,10284,Gula Malacca,2011/8/16,44,LEHMS,15.5,21
98,10284,Camembert Pierrot,2011/8/16,60,LEHMS,27.2,20
99,10284,Laughing Lumberjack Lager,2011/8/16,67,LEHMS,11.2,5
100,10285,Chai,2011/8/17,1,QUICK,14.4,45
101,10285,Boston Crab Meat,2011/8/17,40,QUICK,14.7,40
102,10285,Perth Pasties,2011/8/17,53,QUICK,26.2,36
103,10286,Steeleye Stout,2011/8/18,35,QUICK,14.4,100
104,10286,Tarte au sucre,2011/8/18,62,QUICK,39.4,40
105,10287,Pavlova,2011/8/19,16,RICAR,13.9,40
106,10287,Sasquatch Ale,2011/8/19,34,RICAR,11.2,20
107,10287,Spegesild,2011/8/19,46,RICAR,9.6,15
108,10288,Tourtiere,2011/8/20,54,REGGC,5.9,10
109,10288,Scottish Longbreads,2011/8/20,68,REGGC,10,3
110,10289,Aniseed Syrup,2011/8/23,3,BSBEV,8,30
111,10289,Wimmers gute Semmelknodel,2011/8/23,64,BSBEV,26.6,9
112,10290,Chef Anton's Gumbo Mix,2011/8/24,5,COMMI,17,20
113,10290,Thuringer Rostbratwurst,2011/8/24,29,COMMI,99,15
114,10290,Maxilaku,2011/8/24,49,COMMI,16,15
115,10290,Original Frankfurter grune Sose,2011/8/24,77,COMMI,10.4,10
116,10291,Konbu,2011/8/24,13,QUEDE,4.8,20
117,10291,Gula Malacca,2011/8/24,44,QUEDE,15.5,24
118,10291,Manjimup Dried Apples,2011/8/24,51,QUEDE,42.4,2
119,10292,Sir Rodney's Marmalade,2011/8/25,20,TRADH,64.8,20
120,10293,Carnarvon Tigers,2011/8/26,18,TORTU,50,12
121,10293,Guarana Fantastica,2011/8/26,24,TORTU,3.6,10
122,10293,Vegie-spread,2011/8/26,63,TORTU,35.1,5
123,10293,Rhonbrau Klosterbier,2011/8/26,75,TORTU,6.2,6
124,10294,Chai,2011/8/27,1,RATTC,14.4,18
125,10294,Alice Mutton,2011/8/27,17,RATTC,31.2,15
126,10294,Ipoh Coffee,2011/8/27,43,RATTC,36.8,15
127,10294,Camembert Pierrot,2011/8/27,60,RATTC,27.2,21
128,10294,Rhonbrau Klosterbier,2011/8/27,75,RATTC,6.2,6
129,10295,Gnocchi di nonna Alice,2011/8/30,56,VINET,30.4,4
130,10296,Queso Cabrales,2011/8/31,11,LILAS,16.8,12
131,10296,Pavlova,2011/8/31,16,LILAS,13.9,30
132,10296,Gudbrandsdalsost,2011/8/31,69,LILAS,28.8,15
133,10297,Chartreuse verte,2011/9/1,39,BLONP,14.4,60
134,10297,Mozzarella di Giovanni,2011/9/1,72,BLONP,27.8,20
135,10298,Chang,2011/9/2,2,HUNGO,15.2,40
136,10298,Inlagd Sill,2011/9/2,36,HUNGO,15.2,40
137,10298,Raclette Courdavault,2011/9/2,59,HUNGO,44,30
138,10298,Tarte au sucre,2011/9/2,62,HUNGO,39.4,15
139,10299,Teatime Chocolate Biscuits,2011/9/3,19,RICAR,7.3,15
140,10299,Outback Lager,2011/9/3,70,RICAR,12,20
141,10300,Louisiana Hot Spiced Okra,2011/9/6,66,MAGAA,13.6,30
142,10300,Scottish Longbreads,2011/9/6,68,MAGAA,10,20
143,10301,Boston Crab Meat,2011/9/6,40,WANDK,14.7,10
144,10301,Gnocchi di nonna Alice,2011/9/6,56,WANDK,30.4,20
145,10302,Alice Mutton,2011/9/7,17,SUPRD,31.2,40
146,10302,Rossle Sauerkraut,2011/9/7,28,SUPRD,36.4,28
147,10302,Ipoh Coffee,2011/9/7,43,SUPRD,36.8,12
148,10303,Boston Crab Meat,2011/9/8,40,GODOS,14.7,40
149,10303,Louisiana Fiery Hot Pepper Sauce,2011/9/8,65,GODOS,16.8,30
150,10303,Scottish Longbreads,2011/9/8,68,GODOS,10,15
151,10304,Maxilaku,2011/9/9,49,TORTU,16,30
152,10304,Raclette Courdavault,2011/9/9,59,TORTU,44,10
153,10304,Flotemysost,2011/9/9,71,TORTU,17.2,2
154,10305,Carnarvon Tigers,2011/9/10,18,OLDWO,50,25
155,10305,Thuringer Rostbratwurst,2011/9/10,29,OLDWO,99,25
156,10305,Chartreuse verte,2011/9/10,39,OLDWO,14.4,30
157,10306,Nord-Ost Matjeshering,2011/9/13,30,ROMEY,20.7,10
158,10306,Perth Pasties,2011/9/13,53,ROMEY,26.2,10
159,10306,Tourtiere,2011/9/13,54,ROMEY,5.9,5
160,10307,Tarte au sucre,2011/9/14,62,LONEP,39.4,10
161,10307,Scottish Longbreads,2011/9/14,68,LONEP,10,3
162,10308,Gudbrandsdalsost,2011/9/15,69,ANATR,28.8,1
163,10308,Outback Lager,2011/9/15,70,ANATR,12,5
164,10309,Chef Anton's Cajun Seasoning,2011/9/16,4,HUNGO,17.6,20
165,10309,Grandma's Boysenberry Spread,2011/9/16,6,HUNGO,20,30
166,10309,Singaporean Hokkien Fried Mee,2011/9/16,42,HUNGO,11.2,2
167,10309,Ipoh Coffee,2011/9/16,43,HUNGO,36.8,20
168,10309,Flotemysost,2011/9/16,71,HUNGO,17.2,3
169,10310,Pavlova,2011/9/17,16,THEBI,13.9,10
170,10310,Tarte au sucre,2011/9/17,62,THEBI,39.4,5
171,10311,Singaporean Hokkien Fried Mee,2011/9/17,42,DUMON,11.2,6
172,10311,Gudbrandsdalsost,2011/9/17,69,DUMON,28.8,7
173,10312,Rossle Sauerkraut,2011/9/20,28,WANDK,36.4,4
174,10312,Ipoh Coffee,2011/9/20,43,WANDK,36.8,24
175,10312,Perth Pasties,2011/9/20,53,WANDK,26.2,20
176,10312,Rhonbrau Klosterbier,2011/9/20,75,WANDK,6.2,10
177,10313,Inlagd Sill,2011/9/21,36,QUICK,15.2,12
178,10314,Mascarpone Fabioli,2011/9/22,32,RATTC,25.6,40
179,10314,Escargots de Bourgogne,2011/9/22,58,RATTC,10.6,30
180,10314,Tarte au sucre,2011/9/22,62,RATTC,39.4,25
181,10315,Sasquatch Ale,2011/9/23,34,ISLAT,11.2,14
182,10315,Outback Lager,2011/9/23,70,ISLAT,12,30
183,10316,Jack's New England Clam Chowder,2011/9/24,41,RATTC,7.7,10
184,10316,Tarte au sucre,2011/9/24,62,RATTC,39.4,70
185,10317,Chai,2011/9/27,1,LONEP,14.4,20
186,10318,Jack's New England Clam Chowder,2011/9/28,41,ISLAT,7.7,20
187,10318,Lakkalikoori,2011/9/28,76,ISLAT,14.4,6
188,10319,Alice Mutton,2011/9/29,17,TORTU,31.2,8
189,10319,Rossle Sauerkraut,2011/9/29,28,TORTU,36.4,14
190,10319,Lakkalikoori,2011/9/29,76,TORTU,14.4,30
191,10320,Flotemysost,2011/9/30,71,WARTH,17.2,30
192,10321,Steeleye Stout,2011/9/30,35,ISLAT,14.4,10
193,10322,Filo Mix,2011/10/1,52,PERIC,5.6,20
194,10323,Genen Shouyu,2011/10/4,15,KOENE,12.4,5
195,10323,NuNuCa Nus-Nougat-Creme,2011/10/4,25,KOENE,11.2,4
196,10323,Chartreuse verte,2011/10/4,39,KOENE,14.4,4
197,10324,Pavlova,2011/10/5,16,SAVEA,13.9,21
198,10324,Steeleye Stout,2011/10/5,35,SAVEA,14.4,70
199,10324,Spegesild,2011/10/5,46,SAVEA,9.6,30
200,10324,Raclette Courdavault,2011/10/5,59,SAVEA,44,40
201,10324,Vegie-spread,2011/10/5,63,SAVEA,35.1,80
202,10325,Grandma's Boysenberry Spread,2011/10/6,6,KOENE,20,6
203,10325,Konbu,2011/10/6,13,KOENE,4.8,12
204,10325,Tofu,2011/10/6,14,KOENE,18.6,9
205,10325,Gorgonzola Telino,2011/10/6,31,KOENE,10,4
