BladeName,Family,D,P,c/R,r/R,beta
apcff 4.2x4.0,apcff,4.2,4.0,0.2027,0.15,38.363
apcff 4.2x4.0,apcff,4.2,4.0,0.1909,0.2,42.864
apcff 4.2x4.0,apcff,4.2,4.0,0.1865,0.25,45.208
apcff 4.2x4.0,apcff,4.2,4.0,0.1823,0.3,44.502
apcff 4.2x4.0,apcff,4.2,4.0,0.18,0.35,42.724
apcff 4.2x4.0,apcff,4.2,4.0,0.1817,0.4,40.263
apcff 4.2x4.0,apcff,4.2,4.0,0.186,0.45,37.416
apcff 4.2x4.0,apcff,4.2,4.0,0.1895,0.5,34.613
apcff 4.2x4.0,apcff,4.2,4.0,0.1902,0.55,32.197
apcff 4.2x4.0,apcff,4.2,4.0,0.188,0.6,30.083
apcff 4.2x4.0,apcff,4.2,4.0,0.183,0.65,28.195
apcff 4.2x4.0,apcff,4.2,4.0,0.175,0.7,26.509
apcff 4.2x4.0,apcff,4.2,4.0,0.1642,0.75,24.943
apcff 4.2x4.0,apcff,4.2,4.0,0.1506,0.8,23.468
apcff 4.2x4.0,apcff,4.2,4.0,0.1341,0.85,21.855
apcff 4.2x4.0,apcff,4.2,4.0,0.1145,0.9,19.775
apcff 4.2x4.0,apcff,4.2,4.0,0.0855,0.95,17.162
apcff 4.2x4.0,apcff,4.2,4.0,0.009,1.0,15.732
apcff 9.0x4.0,apcff,9.0,4.0,0.1693,0.15,33.068
apcff 9.0x4.0,apcff,9.0,4.0,0.1671,0.2,35.152
apcff 9.0x4.0,apcff,9.0,4.0,0.1665,0.25,34.443
apcff 9.0x4.0,apcff,9.0,4.0,0.1653,0.3,30.962
apcff 9.0x4.0,apcff,9.0,4.0,0.1659,0.35,27.381
apcff 9.0x4.0,apcff,9.0,4.0,0.1684,0.4,24.718
apcff 9.0x4.0,apcff,9.0,4.0,0.1717,0.45,22.898
apcff 9.0x4.0,apcff,9.0,4.0,0.1741,0.5,21.434
apcff 9.0x4.0,apcff,9.0,4.0,0.1751,0.55,20.056
apcff 9.0x4.0,apcff,9.0,4.0,0.1745,0.6,18.868
apcff 9.0x4.0,apcff,9.0,4.0,0.1714,0.65,17.733
apcff 9.0x4.0,apcff,9.0,4.0,0.1655,0.7,16.685
apcff 9.0x4.0,apcff,9.0,4.0,0.1561,0.75,15.61
apcff 9.0x4.0,apcff,9.0,4.0,0.1421,0.8,14.628
apcff 9.0x4.0,apcff,9.0,4.0,0.1233,0.85,13.853
apcff 9.0x4.0,apcff,9.0,4.0,0.0994,0.9,13.092
apcff 9.0x4.0,apcff,9.0,4.0,0.0658,0.95,11.141
apcff 9.0x4.0,apcff,9.0,4.0,0.0106,1.0,7.631
apcsp 4.2x2.0,apcsp,4.2,2.0,0.214,0.15,35.78
apcsp 4.2x2.0,apcsp,4.2,2.0,0.1994,0.2,36.563
apcsp 4.2x2.0,apcsp,4.2,2.0,0.1907,0.25,34.738
apcsp 4.2x2.0,apcsp,4.2,2.0,0.1851,0.3,30.893
apcsp 4.2x2.0,apcsp,4.2,2.0,0.1831,0.35,27.687
apcsp 4.2x2.0,apcsp,4.2,2.0,0.1848,0.4,25.23
apcsp 4.2x2.0,apcsp,4.2,2.0,0.1887,0.45,23.071
apcsp 4.2x2.0,apcsp,4.2,2.0,0.1921,0.5,21.292
apcsp 4.2x2.0,apcsp,4.2,2.0,0.1926,0.55,19.791
apcsp 4.2x2.0,apcsp,4.2,2.0,0.1904,0.6,18.511
apcsp 4.2x2.0,apcsp,4.2,2.0,0.185,0.65,17.392
apcsp 4.2x2.0,apcsp,4.2,2.0,0.1767,0.7,16.467
apcsp 4.2x2.0,apcsp,4.2,2.0,0.1654,0.75,15.593
apcsp 4.2x2.0,apcsp,4.2,2.0,0.1515,0.8,14.841
apcsp 4.2x2.0,apcsp,4.2,2.0,0.1345,0.85,14.136
apcsp 4.2x2.0,apcsp,4.2,2.0,0.1141,0.9,13.437
apcsp 4.2x2.0,apcsp,4.2,2.0,0.0817,0.95,11.919
apcsp 4.2x2.0,apcsp,4.2,2.0,0.0032,1.0,7.128
apcsp 9.0x6.0,apcsp,9.0,6.0,0.1685,0.15,36.414
apcsp 9.0x6.0,apcsp,9.0,6.0,0.1637,0.2,39.25
apcsp 9.0x6.0,apcsp,9.0,6.0,0.1619,0.25,40.053
apcsp 9.0x6.0,apcsp,9.0,6.0,0.1614,0.3,38.239
apcsp 9.0x6.0,apcsp,9.0,6.0,0.1617,0.35,35.366
apcsp 9.0x6.0,apcsp,9.0,6.0,0.1634,0.4,32.531
apcsp 9.0x6.0,apcsp,9.0,6.0,0.166,0.45,30.047
apcsp 9.0x6.0,apcsp,9.0,6.0,0.1684,0.5,27.912
apcsp 9.0x6.0,apcsp,9.0,6.0,0.17,0.55,25.975
apcsp 9.0x6.0,apcsp,9.0,6.0,0.1702,0.6,24.217
apcsp 9.0x6.0,apcsp,9.0,6.0,0.1681,0.65,22.591
apcsp 9.0x6.0,apcsp,9.0,6.0,0.163,0.7,21.273
apcsp 9.0x6.0,apcsp,9.0,6.0,0.1544,0.75,20.146
apcsp 9.0x6.0,apcsp,9.0,6.0,0.1416,0.8,19.223
apcsp 9.0x6.0,apcsp,9.0,6.0,0.1237,0.85,18.367
apcsp 9.0x6.0,apcsp,9.0,6.0,0.1004,0.9,17.943
apcsp 9.0x6.0,apcsp,9.0,6.0,0.0699,0.95,18.192
apcsp 9.0x6.0,apcsp,9.0,6.0,0.0086,1.0,14.53
da4002 5.0x1.58,da4002,5.0,1.58,0.127,0.15,43.027
da4002 5.0x1.58,da4002,5.0,1.58,0.1118,0.2,38.667
da4002 5.0x1.58,da4002,5.0,1.58,0.1384,0.25,31.785
da4002 5.0x1.58,da4002,5.0,1.58,0.1598,0.3,27.7
da4002 5.0x1.58,da4002,5.0,1.58,0.1706,0.35,24.24
da4002 5.0x1.58,da4002,5.0,1.58,0.1768,0.4,21.321
da4002 5.0x1.58,da4002,5.0,1.58,0.1786,0.45,18.927
da4002 5.0x1.58,da4002,5.0,1.58,0.1788,0.5,17.068
da4002 5.0x1.58,da4002,5.0,1.58,0.1779,0.55,15.54
da4002 5.0x1.58,da4002,5.0,1.58,0.1789,0.6,13.922
da4002 5.0x1.58,da4002,5.0,1.58,0.1807,0.65,12.574
da4002 5.0x1.58,da4002,5.0,1.58,0.1805,0.7,11.751
da4002 5.0x1.58,da4002,5.0,1.58,0.1807,0.75,11.026
da4002 5.0x1.58,da4002,5.0,1.58,0.1815,0.8,10.262
da4002 5.0x1.58,da4002,5.0,1.58,0.1798,0.85,9.633
da4002 5.0x1.58,da4002,5.0,1.58,0.1793,0.9,9.162
da4002 5.0x1.58,da4002,5.0,1.58,0.1621,0.95,8.329
da4002 5.0x1.58,da4002,5.0,1.58,0.0157,1.0,6.787
da4002 5.0x2.65,da4002,5.0,2.65,0.126,0.15,43.384
da4002 5.0x2.65,da4002,5.0,2.65,0.113,0.2,39.903
da4002 5.0x2.65,da4002,5.0,2.65,0.1393,0.25,34.213
da4002 5.0x2.65,da4002,5.0,2.65,0.1599,0.3,30.48
da4002 5.0x2.65,da4002,5.0,2.65,0.1711,0.35,27.208
da4002 5.0x2.65,da4002,5.0,2.65,0.1768,0.4,24.272
da4002 5.0x2.65,da4002,5.0,2.65,0.1788,0.45,21.894
da4002 5.0x2.65,da4002,5.0,2.65,0.1789,0.5,20.214
da4002 5.0x2.65,da4002,5.0,2.65,0.1782,0.55,18.559
da4002 5.0x2.65,da4002,5.0,2.65,0.1794,0.6,16.777
da4002 5.0x2.65,da4002,5.0,2.65,0.1809,0.65,15.29
da4002 5.0x2.65,da4002,5.0,2.65,0.1804,0.7,14.275
da4002 5.0x2.65,da4002,5.0,2.65,0.1811,0.75,13.378
da4002 5.0x2.65,da4002,5.0,2.65,0.182,0.8,12.798
da4002 5.0x2.65,da4002,5.0,2.65,0.1801,0.85,12.164
da4002 5.0x2.65,da4002,5.0,2.65,0.1798,0.9,11.546
da4002 5.0x2.65,da4002,5.0,2.65,0.1779,0.95,10.353
da4002 5.0x2.65,da4002,5.0,2.65,0.023,1.0,9.63
da4002 5.0x3.75,da4002,5.0,3.75,0.1253,0.15,41.466
da4002 5.0x3.75,da4002,5.0,3.75,0.1121,0.2,44.054
da4002 5.0x3.75,da4002,5.0,3.75,0.1384,0.25,40.139
da4002 5.0x3.75,da4002,5.0,3.75,0.1594,0.3,36.43
da4002 5.0x3.75,da4002,5.0,3.75,0.1705,0.35,33.121
da4002 5.0x3.75,da4002,5.0,3.75,0.176,0.4,30.108
da4002 5.0x3.75,da4002,5.0,3.75,0.178,0.45,27.726
da4002 5.0x3.75,da4002,5.0,3.75,0.1783,0.5,25.858
da4002 5.0x3.75,da4002,5.0,3.75,0.1778,0.55,24.093
da4002 5.0x3.75,da4002,5.0,3.75,0.1788,0.6,22.396
da4002 5.0x3.75,da4002,5.0,3.75,0.1801,0.65,20.921
da4002 5.0x3.75,da4002,5.0,3.75,0.1797,0.7,19.817
da4002 5.0x3.75,da4002,5.0,3.75,0.1804,0.75,18.933
da4002 5.0x3.75,da4002,5.0,3.75,0.181,0.8,18.173
da4002 5.0x3.75,da4002,5.0,3.75,0.1796,0.85,17.534
da4002 5.0x3.75,da4002,5.0,3.75,0.1793,0.9,16.84
da4002 5.0x3.75,da4002,5.0,3.75,0.1555,0.95,14.427
da4002 5.0x3.75,da4002,5.0,3.75,0.0226,1.0,15.523
da4002 5.0x4.92,da4002,5.0,4.92,0.1265,0.15,45.675
da4002 5.0x4.92,da4002,5.0,4.92,0.1141,0.2,46.623
da4002 5.0x4.92,da4002,5.0,4.92,0.1404,0.25,44.547
da4002 5.0x4.92,da4002,5.0,4.92,0.1613,0.3,41.454
da4002 5.0x4.92,da4002,5.0,4.92,0.1714,0.35,38.726
da4002 5.0x4.92,da4002,5.0,4.92,0.1771,0.4,35.816
da4002 5.0x4.92,da4002,5.0,4.92,0.1791,0.45,33.287
da4002 5.0x4.92,da4002,5.0,4.92,0.1788,0.5,31.347
da4002 5.0x4.92,da4002,5.0,4.92,0.1782,0.55,29.616
da4002 5.0x4.92,da4002,5.0,4.92,0.1797,0.6,27.827
da4002 5.0x4.92,da4002,5.0,4.92,0.1808,0.65,26.433
da4002 5.0x4.92,da4002,5.0,4.92,0.1804,0.7,25.469
da4002 5.0x4.92,da4002,5.0,4.92,0.181,0.75,24.492
