"區域","區課","店名","店號","地址","電話","lon","lat"
"北一區","士林課","新士林","957883","台北市士林區大東路82號","02-28833583",121.5257728,25.090862
"北一區","士林課","福榮","961583","台北市士林區中正路220.222號","02-28330676",121.5260786,25.0955186
"北一區","士林課","福鑫","958026","台北市士林區中正路324號","02-28356026",121.522541,25.094652
"北一區","士林課","社鑽","932699","台北市士林區中正路637號","02-28128751",121.5082505,25.0862038
"北一區","士林課","至善天下","960513","台北市士林區至善路2段264號","02-28830232",121.550925,25.100437
"北一區","士林課","葫東","890357","台北市士林區延平北路5段222號","02-28127526",121.5100318,25.0840685
"北一區","士林課","福陽","900728","台北市士林區延平北路5段259號","02-88115404",121.5096319,25.0849827
"北一區","士林課","福氣","117737","台北市士林區延平北路6段148號","02-28163647",121.5070467,25.0896083
"北一區","士林課","集鑫","118958","台北市士林區延平北路6段202號","02-28163245 ",121.505126,25.089588
"北一區","士林課","聚鑫","997571","台北市士林區延平北路6段350號","02-88111492",121.5012174,25.0907026
"北一區","士林課","洲美","971753","台北市士林區延平北路6段505號","02-28162633",121.4980671,25.0932589
"北一區","士林課","新承德","976910","台北市士林區承德路4段30號","02-28857157",121.522042,25.080383
"北一區","士林課","福志","890900","台北市士林區雨農路25號","02-88663358",121.5322514,25.098457
"北一區","士林課","新福慶","966278","台北市士林區基河路1號(部份)","02-28813445 ",121.5250019,25.086308
"北一區","士林課","華齡","912008","台北市士林區華齡街20號","02-28820385",121.5195038,25.0831381
"北一區","士林課","新福林","944119","台北市士林區福林路191號","02-28310527",121.5326698,25.0968862
"北一區","士林課","新劍潭","937649","台北市士林區福港街246號","02-28882016",121.5174907,25.0843468
"北一區","士林課","福順","992370","台北市士林區福順里重慶北路4段149.151號","02-28166747",121.5118104,25.0832277
"北一區","士林課","鑫太原","971672","台北市大同區太原路40號","02-25591974",121.5151205,25.0504208
"北一區","士林課","雙連","117058","台北市大同區民生西路176號","02-25558245",121.517516,25.057186
"北一區","士林課","鑫寧","980746","台北市大同區民生西路214.216號","02-25508002",121.5149958,25.0568694
"北一區","士林課","權鑫","982661","台北市大同區民權西路157-1號","02-25995942",121.5162926,25.0631603
"北一區","士林課","延華","976345","台北市大同區延平北路1段78.80號","02-25598696",121.511789,25.0518299
"北一區","士林課","延埕","956950","台北市大同區延平北路2段159.161號","02-25520267 ",121.511607,25.0582949
"北一區","士林課","延年","922371","台北市大同區延平北路3段61-5號","02-25978111",121.5111366,25.0658737
"北一區","士林課","德倫","992336","台北市大同區承德路3段240號","02-25875361",121.518552,25.072542
"北一區","士林課","昌吉","993742","台北市大同區承德路3段60號","02-25927056",121.5181022,25.0653296
"北一區","士林課","圓慶","977290","台北市大同區南京西路127號","02-25567571",121.5145702,25.0542783
"北一區","士林課","稻埕","865133","台北市大同區南京西路436號","02-25525790",121.508791,25.053291
"北一區","士林課","新慶陽","966474","台北市大同區重慶北路2段60號","02-25565584",121.5138,25.055701
"北一區","士林課","慶吉","976909","台北市大同區重慶北路3段53-1號","02-25974651",121.5139162,25.0658144
"北一區","士林課","蓬萊","#N/A","台北市大同區寧夏路131-1號","02-25539665",121.5144766,25.0607773
"北一區","大安課","中廣","976758","台北市大安區仁愛路3段25-27號","02-27526751",121.534332,25.038601
"北一區","大安課","敦安","916712","台北市大安區安和路1段86號","02-27081857",121.5523932,25.034707
"北一區","大安課","臨江","963316","台北市大安區安和路2段67號","02-27844961",121.5525982,25.0305826
"北一區","大安課","和泰","944795","台北市大安區和平東路1段169號","02-23915933",121.5317508,25.0265332
"北一區","大安課","禾光","975973","台北市大安區和平東路2段63號","02-27027770",121.538629,25.0257462
"北一區","大安課","金信","127837","台北市大安區金山南路2段18號","02-23215183",121.526935,25.033194
"北一區","大安課","金華","955289","台北市大安區金華街140-1號","02-23945455",121.528431,25.029814
"北一區","大安課","信中","959155","台北市大安區信義路3段101號","02-27033810",121.5387204,25.0336831
"北一區","大安課","安信","110334","台北市大安區信義路4段74號","02-27050827",121.5464175,25.0330759
"北一區","大安課","建南","895020","台北市大安區建國南路2段151巷6之8號","02-27549832",121.5384152,25.028706
"北一區","大安課","合旺","117380","台北市大安區復興南路2段151巷41號","02-27026159",121.5454127,25.0284119
"北一區","大安課","喜悅","991403","台北市大安區復興南路2段82-1及82-2號","(02)27067601",121.5427093,25.0261583
"北一區","大安課","敦信","833309","台北市大安區敦化南路1段329巷17號","02-27045758",121.5501355,25.0342175
