BladeName,Family,D,P,c/R,r/R,beta
nr640 5x3.16,nr640,5,3.156702054288498,0.1061,0.3,32.091
nr640 5x3.16,nr640,5,3.156702054288498,0.1228,0.35,29.631
nr640 5x3.16,nr640,5,3.156702054288498,0.1382,0.4,27.052
nr640 5x3.16,nr640,5,3.156702054288498,0.1489,0.45,24.286
nr640 5x3.16,nr640,5,3.156702054288498,0.1529,0.5,22.047
nr640 5x3.16,nr640,5,3.156702054288498,0.1513,0.55,20.101
nr640 5x3.16,nr640,5,3.156702054288498,0.1469,0.6,18.497
nr640 5x3.16,nr640,5,3.156702054288498,0.1404,0.65,17.14
nr640 5x3.16,nr640,5,3.156702054288498,0.1328,0.7,16.012
nr640 5x3.16,nr640,5,3.156702054288498,0.123,0.75,15.0
nr640 5x3.16,nr640,5,3.156702054288498,0.1131,0.8,14.193
nr640 5x3.16,nr640,5,3.156702054288498,0.1019,0.85,13.435
nr640 5x3.16,nr640,5,3.156702054288498,0.089,0.9,12.796
nr640 5x3.16,nr640,5,3.156702054288498,0.0753,0.95,12.222
nr640 5x3.16,nr640,5,3.156702054288498,0.0605,1.0,11.662
nr640 5x4.29,nr640,5,4.287923302860214,0.1061,0.3,32.091
nr640 5x4.29,nr640,5,4.287923302860214,0.1228,0.35,29.631
nr640 5x4.29,nr640,5,4.287923302860214,0.1382,0.4,27.052
nr640 5x4.29,nr640,5,4.287923302860214,0.1489,0.45,24.286
nr640 5x4.29,nr640,5,4.287923302860214,0.1529,0.5,22.047
nr640 5x4.29,nr640,5,4.287923302860214,0.1513,0.55,20.101
nr640 5x4.29,nr640,5,4.287923302860214,0.1469,0.6,18.497
nr640 5x4.29,nr640,5,4.287923302860214,0.1404,0.65,17.14
nr640 5x4.29,nr640,5,4.287923302860214,0.1328,0.7,16.012
nr640 5x4.29,nr640,5,4.287923302860214,0.123,0.75,15.0
nr640 5x4.29,nr640,5,4.287923302860214,0.1131,0.8,14.193
nr640 5x4.29,nr640,5,4.287923302860214,0.1019,0.85,13.435
nr640 5x4.29,nr640,5,4.287923302860214,0.089,0.9,12.796
nr640 5x4.29,nr640,5,4.287923302860214,0.0753,0.95,12.222
nr640 5x4.29,nr640,5,4.287923302860214,0.0605,1.0,11.662
nr640 9x5.68,nr640,9,5.682063697719297,0.1061,0.3,32.091
nr640 9x5.68,nr640,9,5.682063697719297,0.1228,0.35,29.631
nr640 9x5.68,nr640,9,5.682063697719297,0.1382,0.4,27.052
nr640 9x5.68,nr640,9,5.682063697719297,0.1489,0.45,24.286
nr640 9x5.68,nr640,9,5.682063697719297,0.1529,0.5,22.047
nr640 9x5.68,nr640,9,5.682063697719297,0.1513,0.55,20.101
nr640 9x5.68,nr640,9,5.682063697719297,0.1469,0.6,18.497
nr640 9x5.68,nr640,9,5.682063697719297,0.1404,0.65,17.14
nr640 9x5.68,nr640,9,5.682063697719297,0.1328,0.7,16.012
nr640 9x5.68,nr640,9,5.682063697719297,0.123,0.75,15.0
nr640 9x5.68,nr640,9,5.682063697719297,0.1131,0.8,14.193
nr640 9x5.68,nr640,9,5.682063697719297,0.1019,0.85,13.435
nr640 9x5.68,nr640,9,5.682063697719297,0.089,0.9,12.796
nr640 9x5.68,nr640,9,5.682063697719297,0.0753,0.95,12.222
nr640 9x5.68,nr640,9,5.682063697719297,0.0605,1.0,11.662
nr640 9x7.72,nr640,9,7.718261945148386,0.1061,0.3,32.091
nr640 9x7.72,nr640,9,7.718261945148386,0.1228,0.35,29.631
nr640 9x7.72,nr640,9,7.718261945148386,0.1382,0.4,27.052
nr640 9x7.72,nr640,9,7.718261945148386,0.1489,0.45,24.286
nr640 9x7.72,nr640,9,7.718261945148386,0.1529,0.5,22.047
nr640 9x7.72,nr640,9,7.718261945148386,0.1513,0.55,20.101
nr640 9x7.72,nr640,9,7.718261945148386,0.1469,0.6,18.497
nr640 9x7.72,nr640,9,7.718261945148386,0.1404,0.65,17.14
nr640 9x7.72,nr640,9,7.718261945148386,0.1328,0.7,16.012
nr640 9x7.72,nr640,9,7.718261945148386,0.123,0.75,15.0
nr640 9x7.72,nr640,9,7.718261945148386,0.1131,0.8,14.193
nr640 9x7.72,nr640,9,7.718261945148386,0.1019,0.85,13.435
nr640 9x7.72,nr640,9,7.718261945148386,0.089,0.9,12.796
nr640 9x7.72,nr640,9,7.718261945148386,0.0753,0.95,12.222
nr640 9x7.72,nr640,9,7.718261945148386,0.0605,1.0,11.662
union 9x7.72,union,9,7.718261945148386,0.1644,0.15,40.279
union 9x7.72,union,9,7.718261945148386,0.1774,0.2,36.776
union 9x7.72,union,9,7.718261945148386,0.1965,0.25,32.758
union 9x7.72,union,9,7.718261945148386,0.2208,0.3,28.719
union 9x7.72,union,9,7.718261945148386,0.2444,0.35,25.587
union 9x7.72,union,9,7.718261945148386,0.2635,0.4,23.506
union 9x7.72,union,9,7.718261945148386,0.2773,0.45,22.084
union 9x7.72,union,9,7.718261945148386,0.2855,0.5,20.98
union 9x7.72,union,9,7.718261945148386,0.2902,0.55,19.841
union 9x7.72,union,9,7.718261945148386,0.2926,0.6,18.549
union 9x7.72,union,9,7.718261945148386,0.2917,0.65,17.227
union 9x7.72,union,9,7.718261945148386,0.288,0.7,16.006
union 9x7.72,union,9,7.718261945148386,0.2823,0.75,14.796
union 9x7.72,union,9,7.718261945148386,0.2752,0.8,13.576
union 9x7.72,union,9,7.718261945148386,0.2668,0.85,12.258
union 9x7.72,union,9,7.718261945148386,0.2567,0.9,10.807
union 9x7.72,union,9,7.718261945148386,0.2182,0.95,8.551
union 9x7.72,union,9,7.718261945148386,0.0964,1.0,2.932
